Light Level : 12.5 lx | Presence: 1 | Timestamp: 1466094854
Light Level : 12.5 lx | Presence: 1 | Timestamp: 1466094908
Light Level : 13.3333333333 lx | Presence: 1 | Timestamp: 1466094914
Light Level : 13.3333333333 lx | Presence: 1 | Timestamp: 1466094968
Light Level : 11.6666666667 lx | Presence: 1 | Timestamp: 1466094974
Light Level : 12.5 lx | Presence: 1 | Timestamp: 1466095028
Light Level : 10.8333333333 lx | Presence: 1 | Timestamp: 1466095034
Light Level : 10.8333333333 lx | Presence: 1 | Timestamp: 1466095089
Light Level : 13.3333333333 lx | Presence: 1 | Timestamp: 1466095094
Light Level : 12.5 lx | Presence: 1 | Timestamp: 1466095149
Light Level : 12.5 lx | Presence: 1 | Timestamp: 1466095154
Light Level : 12.5 lx | Presence: 1 | Timestamp: 1466095181
Light Level : 12.5 lx | Presence: 1 | Timestamp: 1466095209
Light Level : 12.5 lx | Presence: 1 | Timestamp: 1466095213
Light Level : 12.5 lx | Presence: 1 | Timestamp: 1466095214
Light Level : 12.5 lx | Presence: 1 | Timestamp: 1466095269
Light Level : 12.5 lx | Presence: 1 | Timestamp: 1466095274
Light Level : 11.6666666667 lx | Presence: 1 | Timestamp: 1466095329
Light Level : 88.3333333333 lx | Presence: 1 | Timestamp: 1466095334
Light Level : 90.0 lx | Presence: 1 | Timestamp: 1466095389
Light Level : 92.5 lx | Presence: 1 | Timestamp: 1466095394
Light Level : 93.3333333333 lx | Presence: 1 | Timestamp: 1466095449
Light Level : 93.3333333333 lx | Presence: 1 | Timestamp: 1466095454
Light Level : 92.5 lx | Presence: 0 | Timestamp: 1466095509
Light Level : 93.3333333333 lx | Presence: 0 | Timestamp: 1466095514
Light Level : 92.5 lx | Presence: 0 | Timestamp: 1466095569
Light Level : 91.6666666667 lx | Presence: 0 | Timestamp: 1466095574
Light Level : 91.6666666667 lx | Presence: 0 | Timestamp: 1466095629
Light Level : 90.0 lx | Presence: 0 | Timestamp: 1466095634
Light Level : 89.1666666667 lx | Presence: 0 | Timestamp: 1466095689
Light Level : 88.3333333333 lx | Presence: 0 | Timestamp: 1466095694
Light Level : 89.1666666667 lx | Presence: 0 | Timestamp: 1466095749
Light Level : 87.5 lx | Presence: 0 | Timestamp: 1466095754
Light Level : 87.5 lx | Presence: 1 | Timestamp: 1466095809
Light Level : 85.8333333333 lx | Presence: 0 | Timestamp: 1466095815
Light Level : 85.8333333333 lx | Presence: 0 | Timestamp: 1466095869
Light Level : 85.8333333333 lx | Presence: 0 | Timestamp: 1466095875
Light Level : 85.8333333333 lx | Presence: 0 | Timestamp: 1466095929
Light Level : 85.8333333333 lx | Presence: 0 | Timestamp: 1466095935
